Feature,Pearson_Corr,Abs_Pearson_Corr
技術指標_乖離率(250日),0.1749650090932846,0.1749650090932846
技術指標_乖離率(60日),0.16110607981681824,0.16110607981681824
技術指標_月RSI(10),0.15714821219444275,0.15714821219444275
個股19天乖離率,0.15304960310459137,0.15304960310459137
技術指標_乖離率(20日),0.15304221212863922,0.15304221212863922
技術指標_週RSI(10),0.1478552371263504,0.1478552371263504
技術指標_月RSI(5),0.14742304384708405,0.14742304384708405
個股10天乖離率,0.14036628603935242,0.14036628603935242
個股20天報酬率,0.13556216657161713,0.13556216657161713
個股10天報酬率,0.13355140388011932,0.13355140388011932
個股5天報酬率,0.13060449063777924,0.13060449063777924
技術指標_週RSI(5),0.13059328496456146,0.13059328496456146
技術指標_RSI(10),0.12199054658412933,0.12199054658412933
個股券商分點籌碼分析_分點賣出熱門度(%),0.12098640203475952,0.12098640203475952
個股5天乖離率,0.11924263089895248,0.11924263089895248
技術指標_季RSI(5),0.10817829519510269,0.10817829519510269
個股券商分點籌碼分析_交易買賣佔有率(%),0.10501474142074585,0.10501474142074585
個股券商分點籌碼分析_分點交易熱門度(%),0.10367009043693542,0.10367009043693542
個股券商分點籌碼分析_分點買進熱門度(%),0.10356878489255905,0.10356878489255905
技術指標_RSI(5),0.1034463495016098,0.1034463495016098
個股券商分點籌碼分析_交易賣出佔有率(%),0.10329170525074005,0.10329170525074005
技術指標_季RSI(10),0.09089628607034683,0.09089628607034683
買超第15名分點金額增減(千),0.08534692972898483,0.08534692972898483
買超第14名分點金額增減(千),0.08362989872694016,0.08362989872694016
買超第13名分點金額增減(千),0.08352252095937729,0.08352252095937729
買超第15名分點前1天金額增減(千),0.0796082615852356,0.0796082615852356
買超第12名分點金額增減(千),0.07950814813375473,0.07950814813375473
賣超第15名分點金額增減(千),-0.0792008489370346,0.0792008489370346
買超第14名分點前1天金額增減(千),0.07916959375143051,0.07916959375143051
買超第13名分點前1天金額增減(千),0.0784381777048111,0.0784381777048111
買超第11名分點金額增減(千),0.07766899466514587,0.07766899466514587
賣超第14名分點金額增減(千),-0.07751341909170151,0.07751341909170151
買超第12名分點前1天金額增減(千),0.0771283283829689,0.0771283283829689
